SITE,LAT_DD,LONG_DD
1,28.08265,-82.28540
2,28.05895,-82.34430
3,28.09905,-82.31190
4,28.08639,-82.33410
5,28.06768,-82.37720
6,28.05466,-82.36420
7,28.01324,-82.35310
8,28.01817,-82.37380
9,28.03811,-82.37430
10,28.03351,-82.38240
11,28.02081,-82.38800
12,28.01811,-82.41180
13,28.02294,-82.43200
14,28.01879,-82.46480
15,27.99748,-82.46970
16,27.98480,-82.47310
17,27.96765,-82.47520
18,27.96163,-82.47000
19,27.95521,-82.46510
20,27.94547,-82.46040
21,27.94254,-82.45930
22,27.92379,-82.44970
23,27.91069,-82.44550
,,
